股票代码,股票简称,最新价,最新涨跌幅,个股热度[20251128],个股热度排名[20251128],market_code,code
000678.SZ,襄阳轴承,14.76,9.98509687,1772881.0,1,33,000678
000592.SZ,平潭发展,10.73,10.051282051,576642.5,2,33,000592
000547.SZ,航天发展,13.51,10.016286645,542370.5,3,33,000547
601162.SH,天风证券,4.83,0.415800416,528254.0,4,17,601162
603778.SH,国晟科技,11.59,9.962049336,347468.5,5,17,603778
002413.SZ,雷科防务,7.66,10.057471264,313258.5,6,33,002413
600734.SH,实达集团,5.08,-8.303249097,273843.5,7,17,600734
002702.SZ,海欣食品,7.24,10.030395137,251975.0,8,33,002702
300102.SZ,乾照光电,19.07,20.012586532,249457.5,9,33,300102
002611.SZ,东方精工,18.4,4.604889142,238739.0,10,33,002611
603122.SH,合富中国,23.82,7.490974729,211261.5,11,17,603122
000070.SZ,特发信息,14.01,-2.977839335,192071.0,12,33,000070
600246.SH,万通发展,12.92,-7.383512545,191656.0,13,17,600246
000078.SZ,海王生物,3.4,10.03236246,179078.5,14,33,000078
002792.SZ,通宇通讯,23.78,9.990749306,175584.0,15,33,002792
300300.SZ,海峡创新,16.05,16.473149492,171539.5,16,33,300300
002264.SZ,新华都,9.53,-10.009442871,167286.0,17,33,002264
300115.SZ,长盈精密,42.92,11.191709845,162304.0,18,33,300115
002407.SZ,多氟多,34.55,6.668724915,162020.5,19,33,002407
600343.SH,航天动力,23.8,6.487695749,158023.0,20,17,600343
600828.SH,茂业商业,6.15,10.017889088,153856.0,21,17,600828
600868.SH,梅雁吉祥,3.58,10.153846154,150755.5,22,17,600868
600930.SH,华电新能,6.23,1.136363636,144471.0,23,17,600930
002596.SZ,海南瑞泽,6.34,10.069444444,139217.5,24,33,002596
300058.SZ,蓝色光标,10.73,1.322001889,133541.5,25,33,300058
601238.SH,广汽集团,9.25,9.988109394,131718.5,26,17,601238
003018.SZ,金富科技,20.52,10.026809651,130511.5,27,33,003018
000859.SZ,国风新材,7.63,-9.917355372,130022.0,28,33,000859
