股票代码,股票简称,最新价,最新涨跌幅,涨停[20260304],首次涨停时间[20260304],最终涨停时间[20260304],涨停明细数据[20260304],连续涨停天数[20260304],涨停原因类别[20260304],涨停封单量[20260304],涨停封单额[20260304],涨停封单量占成交量比[20260304],涨停封单量占流通a股比[20260304],涨停开板次数[20260304],a股市值(不含限售股)[20260304],几天几板[20260304],涨停类型[20260304],market_code,code
002357.SZ,富临运业,16.04,10.013717421124822,涨停, 10:53:57, 10:53:57,"[{""code"":""002357.SZ"",""time"":1772592837000,""openTime"":null,""duration"":9417000,""updatedTime"":1772610246000,""firstVol"":3.466308E7,""highestVol"":3.583178E7,""firstVolDivLTGB"":0.11057587346875035,""firstVolDivVol"":2.498107,""highestVolDivLTGB"":0.11430404832577196,""highestVolDivVol"":2.576633}]",1,低空经济+客运龙头+无人物流+年报预增,4439540,7.12102216E7,19.622591071847914,1.4162215628255075,0,5028183700.000,首板涨停,放量涨停,33,002357
001282.SZ,三联锻造,25.3,10.000000000000002,涨停, 13:13:57, 13:13:57,"[{""code"":""001282.SZ"",""time"":1772601237000,""openTime"":null,""duration"":6363000,""updatedTime"":1772610282000,""firstVol"":2.2498547E7,""highestVol"":2.3079399E7,""firstVolDivLTGB"":0.28783476705627087,""firstVolDivVol"":1.83882,""highestVolDivLTGB"":0.2952658869465539,""highestVolDivVol"":1.876837}]",1,人形机器人+汽车锻件+外销增长,4072925,1.030450025E8,25.378468916753725,5.210689466358258,0,1977569400.000,首板涨停,放量涨停,33,001282
002162.SZ,悦心健康,6.08,9.945750452079563,涨停, 10:25:45, 10:25:45,"[{""code"":""002162.SZ"",""time"":1772591145000,""openTime"":null,""duration"":11100000,""updatedTime"":1772610255000,""firstVol"":1.27821445E8,""highestVol"":1.30188945E8,""firstVolDivLTGB"":0.13916414060531587,""firstVolDivVol"":1.685173,""highestVolDivLTGB"":0.14174172923203718,""highestVolDivVol"":1.707982}]",1,康养机器人+银发经济+扭亏为盈,21688230,1.318644384E8,24.669276189182316,2.3612813086258173,0,5584444300.000,首板涨停,放量涨停,33,002162
603618.SH,杭电股份,20.59,9.989316239316246,涨停, 13:40:24, 13:40:24,"[{""code"":""603618.SH"",""time"":1772602824000,""openTime"":null,""duration"":4779000,""updatedTime"":1772609498000,""firstVol"":1.57533E7,""highestVol"":2.0184109E7,""firstVolDivLTGB"":0.02278544344844236,""firstVolDivVol"":0.171451,""highestVolDivLTGB"":0.029194129114325028,""highestVolDivVol"":0.217667}]",1,特高压+电力+超薄铜箔,4831514,9.948087326E7,4.91887539125384,0.69882620795235,0,14235424000.000,首板涨停,缩量涨停,17,603618
603045.SH,福达合金,32.41,10.013577732518653,涨停, 14:42:07, 14:42:07,"[{""code"":""603045.SH"",""time"":1772606527000,""openTime"":null,""duration"":1077000,""updatedTime"":1772609494000,""firstVol"":6859240.0,""highestVol"":7285540.0,""firstVolDivLTGB"":0.05064219535944272,""firstVolDivVol"":0.74111,""highestVolDivLTGB"":0.053789594762544295,""highestVolDivVol"":0.786287}]",1,业绩预增+数据中心+电接触材料,3722420,1.206436322E8,37.69892369665007,2.7482858283118357,0,4389777500.000,首板涨停,放量涨停,17,603045
000862.SZ,银星能源,7.34,10.044977511244378,涨停, 13:35:39, 13:35:39,"[{""code"":""000862.SZ"",""time"":1772602539000,""openTime"":null,""duration"":5061000,""updatedTime"":1772610276000,""firstVol"":5.3204641E7,""highestVol"":5.5352541E7,""firstVolDivLTGB"":0.08472520617195148,""firstVolDivVol"":0.913915,""highestVolDivLTGB"":0.0881456083571055,""highestVolDivVol"":0.937091}]",1,风电技改+绿电直连+智能电网+资产注入预期,12445740,9.13517316E7,18.26943767636317,1.981909599695454,0,4609278400.000,首板涨停,放量涨停,33,000862
600236.SH,桂冠电力,10.85,10.040567951318462,涨停, 14:12:36, 14:47:39,"[{""code"":""600236.SH"",""time"":1772604756000,""openTime"":1772606856000,""duration"":2097000,""updatedTime"":1772606856000,""firstVol"":1.4341636E7,""highestVol"":1.4341636E7,""firstVolDivLTGB"":0.0018194555450464565,""firstVolDivVol"":0.442842,""highestVolDivLTGB"":0.0018194555450464565,""highestVolDivVol"":0.442842},{""code"":""600236.SH"",""time"":1772606859000,""openTime"":null,""duration"":744000,""updatedTime"":1772609478000,""firstVol"":6909509.0,""highestVol"":6940409.0,""firstVolDivLTGB"":8.765767352900602E-4,""firstVolDivVol"":0.17627,""highestVolDivLTGB"":8.804968721797382E-4,""highestVolDivVol"":0.176927}]",1,西藏资产收购+水电高股息+央企,1576570,1.71057845E7,3.712684555383435,0.020001198110549533,1,85523799000.000,3天2板,放量涨停,17,600236
301373.SZ,凌玮科技,49.61,20.004837929366218,涨停, 10:01:21, 10:01:21,"[{""code"":""301373.SZ"",""time"":1772589681000,""openTime"":null,""duration"":12528000,""updatedTime"":1772610291000,""firstVol"":1.38614E7,""highestVol"":1.4289E7,""firstVolDivLTGB"":0.36029162791518554,""firstVolDivVol"":1.400869,""highestVolDivLTGB"":0.3714059958792103,""highestVolDivVol"":1.441534}]",1,球形硅微粉+纳米二氧化硅+人形机器人,2007969,9.961534209E7,17.90098126171594,5.219201666593758,0,1908631800.000,首板涨停,放量涨停,33,301373
600759.SH,洲际油气,8.26,9.986684420772304,涨停, 09:25:01, 13:42:34,"[{""code"":""600759.SH"",""time"":1772587501000,""openTime"":1772602396000,""duration"":9210000,""updatedTime"":1772602396000,""firstVol"":5.9774275E8,""highestVol"":5.9774275E8,""firstVolDivLTGB"":0.1442538796945168,""firstVolDivVol"":99.729339,""highestVolDivLTGB"":0.1442538796945168,""highestVolDivVol"":99.729339},{""code"":""600759.SH"",""time"":1772602414000,""openTime"":1772602951000,""duration"":534000,""updatedTime"":1772602951000,""firstVol"":2.18661874E8,""highestVol"":2.28968474E8,""firstVolDivLTGB"":0.05276989752828218,""firstVolDivVol"":0.470408,""highestVolDivLTGB"":0.0552572000283284,""highestVolDivVol"":0.490423},{""code"":""600759.SH"",""time"":1772602954000,""openTime"":null,""duration"":4647000,""updatedTime"":1772609482000,""firstVol"":1375424.0,""highestVol"":7.902559E7,""firstVolDivLTGB"":3.3193250478563073E-4,""firstVolDivVol"":0.002303,""highestVolDivLTGB"":0.01907132784571324,""highestVolDivVol"":0.122906}]",3,油气开采+哈萨克斯坦油田,67688699,5.5910865374E8,10.285817484080468,1.633538414681627,2,34226845000.000,7天5板,放量涨停,17,600759
600108.SH,亚盛集团,5.29,9.979209979209989,涨停, 09:59:02, 09:59:32,"[{""code"":""600108.SH"",""time"":1772589542000,""openTime"":1772589557000,""duration"":12000,""updatedTime"":1772589557000,""firstVol"":4.0944838E7,""highestVol"":4.0944838E7,""firstVolDivLTGB"":0.021030623039677957,""firstVolDivVol"":0.129902,""highestVolDivLTGB"":0.021030623039677957,""highestVolDivVol"":0.129902},{""code"":""600108.SH"",""time"":1772589572000,""openTime"":null,""duration"":12654000,""updatedTime"":1772609498000,""firstVol"":8881700.0,""highestVol"":4.3299868E7,""firstVolDivLTGB"":0.004561934880570482,""firstVolDivVol"":0.026819,""highestVolDivLTGB"":0.02224024433985584,""highestVolDivVol"":0.126169}]",4,粮食概念+玉米种子+土地流转+甘肃国资,18216919,9.636750151E7,5.010985114623321,0.9356812119597278,1,10299181000.000,4天4板,放量涨停,17,600108
603175.SH,超颖电子,79.64,9.999999999999993,涨停, 10:08:22, 10:08:22,"[{""code"":""603175.SH"",""time"":1772590102000,""openTime"":null,""duration"":12120000,""updatedTime"":1772609494000,""firstVol"":4780800.0,""highestVol"":4780800.0,""firstVolDivLTGB"":0.10865625432109069,""firstVolDivVol"":1.189333,""highestVolDivLTGB"":0.10865625432109069,""highestVolDivVol"":1.189333}]",1,PCB+AI算力扩产+存储芯片,243474,1.939026936E7,3.8502977222622055,0.5533587028232354,0,3504104900.000,首板涨停,放量涨停,17,603175
000525.SZ,红太阳,6.83,9.983896940418681,涨停, 13:03:00, 13:23:39,"[{""code"":""000525.SZ"",""time"":1772600580000,""openTime"":1772601750000,""duration"":1167000,""updatedTime"":1772601750000,""firstVol"":8.27792E7,""highestVol"":8.6947E7,""firstVolDivLTGB"":0.07445779631189377,""firstVolDivVol"":1.777926,""highestVolDivLTGB"":0.07820662697791507,""highestVolDivVol"":1.852284},{""code"":""000525.SZ"",""time"":1772601819000,""openTime"":null,""duration"":5781000,""updatedTime"":1772610291000,""firstVol"":6.54458E7,""highestVol"":7.1599929E7,""firstVolDivLTGB"":0.05886684149966341,""firstVolDivVol"":0.810923,""highestVolDivLTGB"":0.0644023248524757,""highestVolDivVol"":0.87496}]",1,绿色农药+敌草快涨价+国企改革,22872636,1.5622010388E8,25.14000224354432,2.057335746665936,1,7593320800.000,首板涨停,放量涨停,33,000525
000711.SZ,ST京蓝,3.82,4.945054945054937,涨停, 09:30:30, 09:30:30,"[{""code"":""000711.SZ"",""time"":1772587830000,""openTime"":null,""duration"":14376000,""updatedTime"":1772610294000,""firstVol"":38500.0,""highestVol"":4.9980257E7,""firstVolDivLTGB"":1.6843606831447384E-5,""firstVolDivVol"":6.23E-4,""highestVolDivLTGB"":0.021866176577732363,""highestVolDivVol"":0.705127}]",7,复牌+金属铟+ITO靶材,43164657,1.6488898974E8,59.79976609952653,1.8884376922656705,0,8731502800.000,22天15板,缩量涨停,33,000711
601096.SH,宏盛华源,6.28,9.982486865148866,涨停, 10:08:06, 13:48:30,"[{""code"":""601096.SH"",""time"":1772590086000,""openTime"":1772593707000,""duration"":3618000,""updatedTime"":1772593707000,""firstVol"":9.03891E7,""highestVol"":9.03891E7,""firstVolDivLTGB"":0.055015453808600664,""firstVolDivVol"":1.095652,""highestVolDivLTGB"":0.055015453808600664,""highestVolDivVol"":1.095652},{""code"":""601096.SH"",""time"":1772603310000,""openTime"":null,""duration"":4293000,""updatedTime"":1772609472000,""firstVol"":2.4897814E7,""highestVol"":4.0874114E7,""firstVolDivLTGB"":0.015154089774675607,""firstVolDivVol"":0.155418,""highestVolDivLTGB"":0.024878087410257186,""highestVolDivVol"":0.255111}]",1,电网设备+特高压中标+央企,9843314,6.181601192E7,5.979225227198148,0.5991147015409516,1,10317892700.000,首板涨停,放量涨停,17,601096
001396.SZ,誉帆科技,54.81,9.99397953040338,涨停, 10:16:42, 10:16:42,"[{""code"":""001396.SZ"",""time"":1772590602000,""openTime"":null,""duration"":11634000,""updatedTime"":1772610264000,""firstVol"":7626200.0,""highestVol"":7626200.0,""firstVolDivLTGB"":0.3434120119183268,""firstVolDivVol"":4.04015,""highestVolDivLTGB"":0.3434120119183268,""highestVolDivVol"":4.04015}]",1,地下管网+专精特新+次新股,531398,2.912592438E7,21.15939085890169,2.3929146404418327,0,1217173560.000,首板涨停,缩量涨停,33,001396
000890.SZ,法尔胜,8.87,10.049627791563259,涨停, 10:19:33, 14:44:57,"[{""code"":""000890.SZ"",""time"":1772590773000,""openTime"":1772590827000,""duration"":51000,""updatedTime"":1772590827000,""firstVol"":4.4241215E7,""highestVol"":4.7064715E7,""firstVolDivLTGB"":0.10546402699618052,""firstVolDivVol"":0.740354,""highestVolDivLTGB"":0.11219480236534059,""highestVolDivVol"":0.774758},{""code"":""000890.SZ"",""time"":1772601618000,""openTime"":1772606625000,""duration"":5004000,""updatedTime"":1772606625000,""firstVol"":3669600.0,""highestVol"":1.12928E7,""firstVolDivLTGB"":0.008747743330855267,""firstVolDivVol"":0.03484,""highestVolDivLTGB"":0.02692024086731043,""highestVolDivVol"":0.106354},{""code"":""000890.SZ"",""time"":1772606673000,""openTime"":1772606694000,""duration"":18000,""updatedTime"":1772606694000,""firstVol"":498800.0,""highestVol"":498800.0,""firstVolDivLTGB"":0.0011890599447979635,""firstVolDivVol"":0.004327,""highestVolDivLTGB"":0.0011890599447979635,""highestVolDivVol"":0.004327},{""code"":""000890.SZ"",""time"":1772606697000,""openTime"":null,""duration"":903000,""updatedTime"":1772610282000,""firstVol"":310100.0,""highestVol"":9520820.0,""firstVolDivLTGB"":7.392291276701053E-4,""firstVolDivVol"":0.002669,""highestVolDivLTGB"":0.022696122100303424,""highestVolDivVol"":0.081542}]",1,光纤概念+钢帘线剥离+环保设备,3672820,3.25779134E7,3.136189285719531,0.8755419299223851,3,3720885600.000,8天6板,放量涨停,33,000890
300880.SZ,迦南智能,23.22,19.999999999999986,涨停, 13:46:54, 13:46:54,"[{""code"":""300880.SZ"",""time"":1772603214000,""openTime"":null,""duration"":4386000,""updatedTime"":1772610315000,""firstVol"":1.9722592E7,""highestVol"":2.0294292E7,""firstVolDivLTGB"":0.10108112453122102,""firstVolDivVol"":1.033796,""highestVolDivLTGB"":0.10401116936987605,""highestVolDivVol"":1.062237}]",1,电网设备+储能+充电桩+中标,1096685,2.54650257E7,3.965561661494347,0.5620668574217939,0,4530604400.000,首板涨停,放量涨停,33,300880
688525.SH,佰维存储,175.99,19.998636301650084,涨停, 09:25:03, 09:32:39,"[{""code"":""688525.SH"",""time"":1772587503000,""openTime"":1772587821000,""duration"":21000,""updatedTime"":1772587821000,""firstVol"":551204.0,""highestVol"":1582967.0,""firstVolDivLTGB"":0.0011799755576430467,""firstVolDivVol"":0.08169,""highestVolDivLTGB"":0.003388695235440129,""highestVolDivVol"":0.200871},{""code"":""688525.SH"",""time"":1772587959000,""openTime"":null,""duration"":14247000,""updatedTime"":1772609517000,""firstVol"":143280.0,""highestVol"":9642689.0,""firstVolDivLTGB"":3.06722915470671E-4,""firstVolDivVol"":0.005348,""highestVolDivLTGB"":0.020642334471363547,""highestVolDivVol"":0.30352}]",1,业绩暴增+存储涨价+AI眼镜+先进封测,4596737,8.0897974463E8,12.313634783644801,0.984034460002726,1,82210510000.000,首板涨停,放量涨停,17,688525
600821.SH,金开新能,7.87,10.069930069930065,涨停, 09:38:28, 13:34:19,"[{""code"":""600821.SH"",""time"":1772588308000,""openTime"":1772588321000,""duration"":10000,""updatedTime"":1772588321000,""firstVol"":656400.0,""highestVol"":2584700.0,""firstVolDivLTGB"":3.2864968265155554E-4,""firstVolDivVol"":0.008344,""highestVolDivLTGB"":0.0012941207110747648,""highestVolDivVol"":0.032647},{""code"":""600821.SH"",""time"":1772588330000,""openTime"":1772588339000,""duration"":6000,""updatedTime"":1772588339000,""firstVol"":1030800.0,""highestVol"":1948860.0,""firstVolDivLTGB"":5.161061744016201E-4,""firstVolDivVol"":0.011653,""highestVolDivLTGB"":9.75765113547091E-4,""highestVolDivVol"":0.021873},{""code"":""600821.SH"",""time"":1772588630000,""openTime"":1772592208000,""duration"":3576000,""updatedTime"":1772592208000,""firstVol"":7.823977E7,""highestVol"":9.8148434E7,""firstVolDivLTGB"":0.039173485041484914,""firstVolDivVol"":0.558921,""highestVolDivLTGB"":0.049141455951930445,""highestVolDivVol"":0.68409},{""code"":""600821.SH"",""time"":1772602459000,""openTime"":null,""duration"":5143000,""updatedTime"":1772609479000,""firstVol"":7.6960584E7,""highestVol"":8.0976684E7,""firstVolDivLTGB"":0.03853301570426323,""firstVolDivVol"":0.276989,""highestVolDivLTGB"":0.04054381703043159,""highestVolDivVol"":0.290551}]",1,绿电+算力+回购注销+天津国资,14749450,1.160781715E8,5.083945516050673,0.7384829466460977,3,15718463000.000,首板涨停,放量涨停,17,600821
